day_type,recommendation_weather,hour,mean_traffic_volume,median_traffic_volume,observations,traffic_rank
Weekday,Low Visibility,2,299.7266666666667,286.5,150,1
Weekday,Low Visibility,3,364.9593023255814,357.5,172,2
Weekday,Low Visibility,1,388.17021276595744,377.0,141,3
Weekday,Low Visibility,0,643.042372881356,622.5,118,4
Weekday,Low Visibility,4,849.080459770115,864.0,174,5
Weekday,Low Visibility,23,1309.7943925233644,1168.0,107,6
Weekday,Low Visibility,22,2075.089552238806,2004.0,67,7
Weekday,Low Visibility,21,2648.366666666667,2584.0,60,8
Weekday,Low Visibility,5,2741.818181818182,2811.5,198,9
Weekday,Low Visibility,20,2833.2608695652175,2826.0,46,10
Weekday,Low Visibility,19,3236.1428571428573,3210.5,42,11
Weekday,Low Visibility,10,4424.100840336135,4477.0,119,12
Weekday,Low Visibility,18,4523.818181818182,4522.0,44,13
Weekday,Low Visibility,11,4689.202380952381,4697.0,84,14
Weekday,Low Visibility,12,4791.8133333333335,4860.0,75,15
Weekday,Low Visibility,13,4837.28813559322,4905.0,59,16
Weekday,Low Visibility,9,4938.115942028986,5086.5,138,17
Weekday,Low Visibility,14,5213.492063492064,5226.0,63,18
Weekday,Low Visibility,6,5476.458128078818,5636.0,203,19
Weekday,Low Visibility,15,5629.727272727273,5719.5,44,20
Weekday,Low Visibility,8,5662.951351351351,5838.0,185,21
Weekday,Low Visibility,17,5866.977272727273,5913.0,44,22
Weekday,Low Visibility,7,6251.613526570049,6409.0,207,23
Weekday,Low Visibility,16,6349.075,6402.5,40,24
Weekday,Normal,2,304.54285714285714,291.0,805,1
Weekday,Normal,3,362.6337285902503,356.0,759,2
Weekday,Normal,1,403.75182481751824,384.0,822,3
Weekday,Normal,0,658.285219399538,627.5,866,4
Weekday,Normal,4,824.2142857142857,843.0,784,5
Weekday,Normal,23,1433.8883878241263,1251.0,887,6
Weekday,Normal,22,2187.2702104097452,2059.0,903,7
Weekday,Normal,5,2690.372,2771.5,750,8
Weekday,Normal,21,2735.579180509413,2705.0,903,9
Weekday,Normal,20,2916.7179763186223,2935.0,929,10
Weekday,Normal,19,3376.616666666667,3393.5,900,11
Weekday,Normal,10,4428.8401442307695,4513.0,832,12
Weekday,Normal,18,4536.179487179487,4586.0,897,13
Weekday,Normal,11,4698.362779740872,4741.0,849,14
Weekday,Normal,13,4910.289920724802,4942.0,883,15
Weekday,Normal,12,4918.154555940023,4958.0,867,16
Weekday,Normal,9,4921.518087855297,5059.0,774,17
Weekday,Normal,14,5213.8021857923495,5263.0,915,18
Weekday,Normal,6,5374.779273216689,5600.0,743,19
Weekday,Normal,8,5517.346103038309,5761.0,757,20
Weekday,Normal,15,5662.057971014493,5757.0,897,21
Weekday,Normal,17,5878.804713804714,6018.0,891,22
Weekday,Normal,7,6055.731774415406,6342.0,727,23
Weekday,Normal,16,6287.683870967742,6426.5,930,24
Weekday,Severe Weather,2,300.6045627376426,282.0,263,1
Weekday,Severe Weather,3,362.1842105263158,354.0,266,2
Weekday,Severe Weather,1,395.2589641434263,373.0,251,3
Weekday,Severe Weather,0,650.328,613.5,250,4
Weekday,Severe Weather,4,835.2578125,841.5,256,5
Weekday,Severe Weather,23,1340.3784860557769,1177.0,251,6
Weekday,Severe Weather,22,2034.65625,1917.0,256,7
Weekday,Severe Weather,21,2596.254826254826,2511.0,259,8
Weekday,Severe Weather,5,2692.1646586345382,2740.0,249,9
Weekday,Severe Weather,20,2737.435483870968,2763.0,248,10
Weekday,Severe Weather,19,3196.033962264151,3218.0,265,11
Weekday,Severe Weather,10,4300.977358490566,4392.0,265,12
Weekday,Severe Weather,18,4306.078947368421,4438.5,266,13
Weekday,Severe Weather,11,4541.570881226054,4634.0,261,14
Weekday,Severe Weather,12,4752.954887218045,4857.5,266,15
Weekday,Severe Weather,13,4777.487603305785,4865.0,242,16
Weekday,Severe Weather,9,4817.7868217054265,5008.5,258,17
Weekday,Severe Weather,14,5050.451063829787,5123.0,235,18
Weekday,Severe Weather,6,5298.570342205323,5483.0,263,19
Weekday,Severe Weather,8,5373.112840466926,5651.0,257,20
Weekday,Severe Weather,15,5510.787148594378,5661.0,249,21
Weekday,Severe Weather,17,5614.971887550201,5865.0,249,22
Weekday,Severe Weather,7,5921.496062992126,6109.5,254,23
Weekday,Severe Weather,16,6049.468,6332.0,250,24
Weekend,Low Visibility,3,401.8688524590164,398.0,61,1
Weekend,Low Visibility,4,406.22727272727275,394.5,66,2
Weekend,Low Visibility,2,617.4603174603175,626.0,63,3
Weekend,Low Visibility,5,672.08,640.0,75,4
Weekend,Low Visibility,1,841.4150943396227,823.0,53,5
Weekend,Low Visibility,6,1150.9324324324325,1114.5,74,6
Weekend,Low Visibility,0,1309.5208333333333,1356.0,48,7
Weekend,Low Visibility,7,1577.5641025641025,1485.0,78,8
Weekend,Low Visibility,23,1692.219512195122,1782.0,41,9
Weekend,Low Visibility,22,2242.7741935483873,2301.0,31,10
Weekend,Low Visibility,8,2268.283582089552,2107.0,67,11
Weekend,Low Visibility,21,2339.5384615384614,2302.0,26,12
Weekend,Low Visibility,20,2665.9545454545455,2619.5,22,13
Weekend,Low Visibility,19,2921.6521739130435,2902.0,23,14
Weekend,Low Visibility,9,3117.08,3102.5,50,15
Weekend,Low Visibility,10,3620.9756097560976,3587.0,41,16
Weekend,Low Visibility,18,3671.9444444444443,3878.0,18,17
Weekend,Low Visibility,17,3866.695652173913,4034.0,23,18
Weekend,Low Visibility,11,3964.8333333333335,4022.0,36,19
Weekend,Low Visibility,16,4140.041666666667,4249.5,24,20
Weekend,Low Visibility,15,4252.555555555556,4417.0,18,21
Weekend,Low Visibility,13,4279.608695652174,4291.0,23,22
Weekend,Low Visibility,12,4297.666666666667,4238.0,33,23
Weekend,Low Visibility,14,4397.52,4547.0,25,24
Weekend,Normal,4,384.47400611620793,383.0,327,1
Weekend,Normal,3,403.64630225080384,391.0,311,2
Weekend,Normal,2,629.27950310559,609.5,322,3
Weekend,Normal,5,644.8878787878788,647.5,330,4
Weekend,Normal,1,825.301724137931,795.5,348,5
Weekend,Normal,6,1109.359477124183,1129.0,306,6
Weekend,Normal,0,1341.2183908045977,1302.0,348,7
Weekend,Normal,7,1622.0444444444445,1575.0,315,8
Weekend,Normal,23,1725.8945945945945,1714.0,370,9
Weekend,Normal,8,2393.598784194529,2284.0,329,10
Weekend,Normal,22,2441.561170212766,2422.5,376,11
Weekend,Normal,21,2736.1311475409834,2757.5,366,12
Weekend,Normal,20,2886.526595744681,2931.5,376,13
Weekend,Normal,9,3160.2225609756097,3159.0,328,14
Weekend,Normal,19,3311.2375690607737,3399.5,362,15
Weekend,Normal,10,3759.641456582633,3738.0,357,16
Weekend,Normal,18,3914.038674033149,3945.0,362,17
Weekend,Normal,11,4116.471264367816,4138.5,348,18
Weekend,Normal,17,4237.723287671233,4278.0,365,19
Weekend,Normal,15,4405.010899182561,4435.0,367,20
Weekend,Normal,14,4412.140161725068,4457.0,371,21
Weekend,Normal,16,4425.8474114441415,4456.0,367,22
Weekend,Normal,13,4427.01329787234,4461.0,376,23
Weekend,Normal,12,4440.555555555556,4467.0,369,24
Weekend,Severe Weather,4,354.7916666666667,359.5,96,1
Weekend,Severe Weather,3,384.87,382.5,100,2
Weekend,Severe Weather,2,591.5106382978723,589.0,94,3
Weekend,Severe Weather,5,607.855421686747,559.0,83,4
Weekend,Severe Weather,1,777.1473684210526,772.0,95,5
Weekend,Severe Weather,6,1045.0531914893618,964.0,94,6
Weekend,Severe Weather,0,1263.9462365591398,1273.0,93,7
Weekend,Severe Weather,7,1543.989010989011,1372.0,91,8
Weekend,Severe Weather,23,1636.095238095238,1601.5,84,9
Weekend,Severe Weather,8,2276.1063829787236,2265.5,94,10
Weekend,Severe Weather,22,2339.7093023255816,2258.0,86,11
Weekend,Severe Weather,21,2621.1,2667.0,90,12
Weekend,Severe Weather,20,2744.25,2804.5,88,13
Weekend,Severe Weather,9,3043.197802197802,3005.0,91,14
Weekend,Severe Weather,19,3129.2417582417584,3206.0,91,15
Weekend,Severe Weather,10,3600.4505494505493,3668.0,91,16
Weekend,Severe Weather,18,3653.5052631578947,3838.0,95,17
Weekend,Severe Weather,11,3994.516853932584,4074.0,89,18
Weekend,Severe Weather,17,4062.9239130434785,4218.0,92,19
Weekend,Severe Weather,16,4240.4375,4432.5,96,20
Weekend,Severe Weather,15,4260.852272727273,4364.0,88,21
Weekend,Severe Weather,12,4274.256097560976,4371.5,82,22
Weekend,Severe Weather,14,4310.125,4379.5,88,23
Weekend,Severe Weather,13,4359.266666666666,4500.5,90,24
